source,target,value
encountering UN,exposure & frequency,39
flexible access to UN,exposure & frequency,0
blurred boundaries and blended spaces,exposure & frequency,0
Passing by UGSs,exposure & frequency,0
combining vegetation/ seating or benches/ and platforms,diversity planning & public space functions,0
diverse urban public space,diversity planning & public space functions,3
urban streetscapes,diversity planning & public space functions,7
creative/ artistic urban design,diversity planning & public space functions,0
commercial business and festivities,diversity planning & public space functions,8
over-engineered or strong human intervention/ artificial,diversity planning & public space functions,0
blending urban soundscapes and nature rhythms,diversity planning & public space functions,0
facilities in UN,diversity planning & public space functions,0
social cohesion/SOC/SI/Accuration,Social & Acculturation,38
learn different lifestyle,Social & Acculturation,0
cultural themes/historic heritage landmarks,Social & Acculturation,0
diverse urban nature types,diverse UN characters & multi-culture,10
cultural themes/ historic heritage landmarks,diverse UN characters & multi-culture,19
informal/fragmented/small UN,diverse UN characters & multi-culture,17
urban garden,diverse UN characters & multi-culture,0
cemetery landscape,diverse UN characters & multi-culture,0
ecological landscape with biodiversity and wildlife,eco-nature system & naturalism aesthetic,12
nature-focused urban design,eco-nature system & naturalism aesthetic,8
seasonally changing vegetation of great aesthetic variety value,eco-nature system & naturalism aesthetic,19
water features landscape,eco-nature system & naturalism aesthetic,26
natural/organic/ wild-style abundant UGS,eco-nature system & naturalism aesthetic,0
visual impact of UN,eco-nature system & naturalism aesthetic,0
Environmental protection motivation -SOP,eco-nature system & naturalism aesthetic,1
Natural activities,eco-nature system & naturalism aesthetic,5
Therapeutic landscape,Restorative environment & healing effect,0
Solitude and personalise engagement in UN,Restorative environment & healing effect,1
finding own private space in UN,Restorative environment & healing effect,0
digital detox and nature refugee,Restorative environment & healing effect,1
healing effect of self-awarness & self-reflection,Restorative environment & healing effect,4
link to life before migration,Restorative environment & healing effect,0
"""secret base""",Restorative environment & healing effect,9
spacious/ low-density/ open spaces,inclusive space design & physical activities,11
freedom of behaviours in UN,inclusive space design & physical activities,0
vivid enjoyment/ good atmospheres of interactions in UN -EE,inclusive space design & physical activities,5
physical activity,inclusive space design & physical activities,6
engagement activities,inclusive space design & physical activities,0
dynamic and static spaces,inclusive space design & physical activities,0
inclusive space design,inclusive space design & physical activities,0
enclosed space,inclusive space design & physical activities,0
walking or pedestrian-friendly systems,Accessibility & walkablity/ pedestrian -friendly system,11
public transport systems,Accessibility & walkablity/ pedestrian -friendly system,0
crowded in the park,Accessibility & walkablity/ pedestrian -friendly system,0
exposure & frequency,feel at home or sense of belonging,39
diversity planning & public space functions,feel at home or sense of belonging,14
Social & Acculturation,feel at home or sense of belonging,37
diverse UN characters & multi-culture,feel at home or sense of belonging,0
eco-nature system & naturalism aesthetic,feel at home or sense of belonging,20
Restorative environment & healing effect,feel at home or sense of belonging,5
inclusive space design & physical activities,feel at home or sense of belonging,13
Accessibility & walkablity/ pedestrian -friendly system,feel at home or sense of belonging,10
exposure & frequency,Emotional attachment (positive),6
diversity planning & public space functions,Emotional attachment (positive),0
Social & Acculturation,Emotional attachment (positive),1
diverse UN characters & multi-culture,Emotional attachment (positive),10
eco-nature system & naturalism aesthetic,Emotional attachment (positive),24
Restorative environment & healing effect,Emotional attachment (positive),4
inclusive space design & physical activities,Emotional attachment (positive),1
Accessibility & walkablity/ pedestrian -friendly system,Emotional attachment (positive),0
exposure & frequency,Similar scenes or familiar landscape (with previous memories),0
diversity planning & public space functions,Similar scenes or familiar landscape (with previous memories),3
Social & Acculturation,Similar scenes or familiar landscape (with previous memories),0
diverse UN characters & multi-culture,Similar scenes or familiar landscape (with previous memories),3
eco-nature system & naturalism aesthetic,Similar scenes or familiar landscape (with previous memories),8
Restorative environment & healing effect,Similar scenes or familiar landscape (with previous memories),0
inclusive space design & physical activities,Similar scenes or familiar landscape (with previous memories),0
Accessibility & walkablity/ pedestrian -friendly system,Similar scenes or familiar landscape (with previous memories),0
exposure & frequency,Emotional progression of daily contact with urban nature (SOP),26
diversity planning & public space functions,Emotional progression of daily contact with urban nature (SOP),1
Social & Acculturation,Emotional progression of daily contact with urban nature (SOP),0
diverse UN characters & multi-culture,Emotional progression of daily contact with urban nature (SOP),17
eco-nature system & naturalism aesthetic,Emotional progression of daily contact with urban nature (SOP),4
Restorative environment & healing effect,Emotional progression of daily contact with urban nature (SOP),1
inclusive space design & physical activities,Emotional progression of daily contact with urban nature (SOP),0
Accessibility & walkablity/ pedestrian -friendly system,Emotional progression of daily contact with urban nature (SOP),0
exposure & frequency,"Emotional resonance with place, emotional memories of places (SOP)",0
diversity planning & public space functions,"Emotional resonance with place, emotional memories of places (SOP)",3
Social & Acculturation,"Emotional resonance with place, emotional memories of places (SOP)",0
diverse UN characters & multi-culture,"Emotional resonance with place, emotional memories of places (SOP)",0
eco-nature system & naturalism aesthetic,"Emotional resonance with place, emotional memories of places (SOP)",13
Restorative environment & healing effect,"Emotional resonance with place, emotional memories of places (SOP)",5
inclusive space design & physical activities,"Emotional resonance with place, emotional memories of places (SOP)",8
Accessibility & walkablity/ pedestrian -friendly system,"Emotional resonance with place, emotional memories of places (SOP)",1
exposure & frequency,Identity,4
diversity planning & public space functions,Identity,0
Social & Acculturation,Identity,0
diverse UN characters & multi-culture,Identity,1
eco-nature system & naturalism aesthetic,Identity,2
Restorative environment & healing effect,Identity,0
inclusive space design & physical activities,Identity,0
Accessibility & walkablity/ pedestrian -friendly system,Identity,0
